Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2020-01-31,2A2WbkwKlh,mnwUcsbS9T,rgrb0Hxs6Y,Barbell Bench Press,6,45.0,fake_id_566
2019-10-14,qqoIQBOBjQ,h85ZOw37Wc,GP76vmtUxM,Dumbbell Bench Press,12,11.339822735890994,fake_id_531
2019-10-16,kqQqTrRQiL,mnwUcsbS9T,3nGl94fMBC,Barbell Bench Press,5,77.11079460405875,fake_id_617
2019-11-08,tADK97qa8m,G1mxtZtEs5,Jq1RDfWteR,Back Squat,12,61.235042773811365,fake_id_547
2020-03-01,Ti3BLOqFX5,G1mxtZtEs5,EIzNDD2N07,Back Squat,8,74.84283005688056,fake_id_528
2020-07-22,cAYDKpETZ7,mnwUcsbS9T,Db0mZKsqYg,Barbell Bench Press,11,55.0,fake_id_529
2019-08-23,DGgqol2mfU,mvkMgAdecH,lxitCf20DN,Dumbbell Shoulder Press,15,14.0,fake_id_585
2019-08-29,2Gc99N76mN,mnwUcsbS9T,BMuI7VyVun,Barbell Bench Press,5,52.16318458509857,fake_id_603
2020-06-15,CLpp4TKszZ,G1mxtZtEs5,mAmx5BlOzy,Back Squat,10,34.01946820767298,fake_id_521
2020-05-11,D3qke9EbtP,bOhZg3HbGM,Cq13Vniqlw,Dumbbell Bent Over Row,15,9.071858188712795,fake_id_587
2020-04-05,s38D4xwQb6,6REm9Tfqpa,95VYbYGwS8,Dumbbell Row,12,15.87575183024739,fake_id_593
2019-12-06,lYZneOaGkn,6REm9Tfqpa,KKshv5Xtj9,Dumbbell Row,10,27.215574566138386,fake_id_512
2019-12-15,UnM11EFY3A,52vo7F7CLd,bwGSCc2WGD,Close-Grip Bench Press,7,72.57486550970236,fake_id_528
2020-01-22,yB2IoqLON4,52vo7F7CLd,2G6c72srpU,Close-Grip Bench Press,8,43.091326396385774,fake_id_531
2020-02-03,jsp66RAsji,dXqYJgUYO6,0c6TrhI2Ey,Deadlift,8,102.05840462301894,fake_id_550
2019-11-05,DlIlMlhp6E,ZAIuKpHvue,FkE5jnDejz,Dumbbell Lunge,5,9.071858188712795,fake_id_516
2020-03-25,GPNxbm4A3N,bOhZg3HbGM,JEVcmuwLu5,Dumbbell Bent Over Row,15,15.87575183024739,fake_id_520
2020-07-20,c1b0cEl41L,G1mxtZtEs5,RFQmm5V8gB,Back Squat,8,79.37875915123695,fake_id_534
2019-09-24,2mDDbMiRZ1,h85ZOw37Wc,9G1txCynP8,Dumbbell Bench Press,12,4.535929094356398,fake_id_590
2019-09-18,aJ39SfmvnD,mnwUcsbS9T,jyVGGGNHqI,Barbell Bench Press,8,70.30690096252415,fake_id_548
2020-01-01,Iwl0YGBMAZ,52vo7F7CLd,sImE9XpcTA,Close-Grip Bench Press,5,83.91468824559335,fake_id_501
2019-10-26,JEVVyxP5i1,mnwUcsbS9T,5hQZsEMGH4,Barbell Bench Press,5,47.62725549074217,fake_id_527
2020-05-09,zLKR2txGj9,mnwUcsbS9T,ZXzJACKpJe,Barbell Bench Press,5,79.37875915123695,fake_id_534
